,Price,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Balcony,State of the property,Furnished,Surface of living-room,Number of showers,Number of facades,Surface terrace,Security door,Access for disabled,Surface garden,Garage,Brussels,Walloon Brabant,Flemish Brabant,Antwerp,Limburg,Liege,Namur,Hainaut,Luxembourg,West Flanders,East Flanders,Type property
0,333500,100,2,1,1,0,1,0,30,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,379000,80,2,1,1,0,1,0,25,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,295000,80,1,1,1,0,1,0,28,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,635000,217,2,1,3,0,2,0,64,1,2,40,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,595000,207,1,2,2,0,2,0,61,2,2,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,615000,170,2,1,2,0,1,0,50,1,3,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,615000,170,2,1,2,0,1,0,50,1,3,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,515000,130,1,2,1,0,1,0,39,1,2,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,550000,130,1,2,1,0,1,0,39,1,2,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,355000,82,2,1,1,0,1,0,25,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,375000,73,2,1,1,0,1,0,22,1,2,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,395000,107,2,2,1,0,1,0,32,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,455000,107,2,1,1,0,1,0,32,1,2,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,470000,105,2,1,1,0,1,0,31,1,2,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,229000,80,1,1,1,0,2,0,26,1,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,199000,56,1,1,1,0,2,0,25,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,749000,150,1,1,2,0,2,0,44,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,439000,205,1,2,2,0,2,0,61,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,348000,173,1,1,1,0,1,0,51,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19,310000,95,2,1,2,0,1,0,65,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,165000,36,1,1,1,0,2,0,11,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,399000,96,2,1,1,0,1,0,40,1,4,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,140000,45,1,1,1,0,2,0,19,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,560000,177,2,1,1,0,1,0,60,1,2,25,0,1,125,0,1,0,0,0,0,0,0,0,0,0,0,0
24,295000,110,1,1,2,0,2,0,35,1,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,289000,90,2,1,1,0,1,0,27,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,389000,155,1,1,2,0,2,0,23,1,2,40,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
27,149900,32,2,1,1,0,1,0,10,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,830000,216,0,2,1,0,0,0,64,1,2,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,645000,180,1,2,1,0,1,0,53,1,2,25,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
30,1249000,187,1,2,2,0,3,0,54,1,3,73,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
31,430000,77,2,1,2,0,3,0,35,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,279000,65,2,1,1,0,1,0,26,1,3,0,0,0,65,0,1,0,0,0,0,0,0,0,0,0,0,0
33,389000,100,2,1,2,0,1,0,30,1,2,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34,380000,80,2,1,1,0,2,0,29,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,349000,126,2,1,2,0,2,0,44,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,315000,100,2,1,2,0,0,0,19,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
37,720000,190,2,1,2,0,1,0,74,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
38,640000,110,2,2,2,0,3,0,43,1,3,24,1,1,213,1,1,0,0,0,0,0,0,0,0,0,0,0
39,199000,40,2,1,1,0,1,0,18,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,595000,109,2,1,2,0,3,0,41,1,3,13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,785000,144,2,2,2,0,3,0,48,1,3,12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42,239000,68,1,1,1,0,1,1,32,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,185000,39,2,1,1,0,1,1,23,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,240000,62,1,1,1,0,1,0,19,1,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,220000,60,1,1,1,0,0,0,42,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,449000,250,1,1,2,0,0,0,38,1,3,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
47,299000,105,2,1,2,0,1,0,31,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,200000,45,1,1,1,0,1,1,24,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,399000,128,2,2,1,0,1,0,38,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,520000,149,2,2,2,0,2,1,44,2,2,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,495000,167,2,2,2,0,2,0,49,2,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,165000,48,2,1,1,0,1,1,15,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,595000,202,0,1,2,0,0,0,30,1,2,8,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,1
54,395000,124,1,2,2,0,2,0,45,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,429000,110,1,1,2,0,2,0,34,1,2,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,375000,91,2,1,2,0,1,0,27,1,2,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,840000,158,1,3,1,0,2,0,47,1,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,424000,125,1,1,1,0,0,0,34,1,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,265000,55,2,1,1,0,1,0,17,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,925000,190,2,3,3,0,2,0,50,1,3,135,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
61,440000,92,2,1,1,0,1,0,30,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
62,390000,98,1,1,2,0,3,0,29,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,425000,96,2,1,1,0,2,0,35,1,2,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,850000,212,2,1,1,0,1,0,63,1,2,43,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
65,499000,115,1,1,1,0,2,0,34,1,2,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
66,610000,132,1,2,1,0,1,0,39,1,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,380000,115,0,2,1,0,1,0,34,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
68,650000,210,2,1,3,0,1,0,62,2,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
69,500000,113,1,1,1,0,1,0,34,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
70,325000,113,1,1,1,0,1,0,34,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,245000,73,2,1,1,0,1,0,22,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,199000,73,1,1,1,0,2,0,25,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,210000,50,2,1,1,0,1,0,15,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,1400000,350,2,2,4,0,1,0,60,1,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,325000,85,1,1,1,0,1,0,25,1,2,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
76,160000,38,2,1,1,1,1,1,12,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,225000,60,1,1,1,0,1,1,30,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
